epoch	train	val	solvent	solute
0.0	0.43228844794576693	0.4042169451713562	0.13894525170326233	1.7242366075515747
1.0	0.29574421025387754	0.32498547434806824	0.11933831870555878	1.5881938934326172
2.0	0.2347600685716166	0.2421964555978775	0.09699583798646927	1.7559062242507935
3.0	0.20472144491878558	0.23424386978149414	0.07075552642345428	1.940324068069458
4.0	0.19227927352035137	0.22155538201332092	0.06356028467416763	1.8442528247833252
5.0	0.18100550313475272	0.22854255139827728	0.08947977423667908	1.6757993698120117
6.0	0.1804201929517384	0.20684723556041718	0.05437017232179642	1.8518189191818237
7.0	0.16797758368167506	0.213718980550766	0.05753215774893761	1.8525304794311523
8.0	0.16998446933806888	0.2126603126525879	0.041508860886096954	1.9238104820251465
9.0	0.15634754137177106	0.19562792778015137	0.056455109268426895	1.6247570514678955
10.0	0.154632222715509	0.17979808151721954	0.05082162842154503	1.6765607595443726
11.0	0.14716402857812413	0.19172236323356628	0.036753781139850616	1.680780053138733
